Rank,Title,Artist,Album
83,After LIKE,IVE (아이브),After LIKE
84,여섯 번째 여름,PLAVE,ASTERUM : The Shape of Things to Come
85,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
86,입술 (Feat. 10CM),헤이즈 (Heize),Last Winter
87,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
88,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
89,I Love My Body,화사 (HWASA),I Love My Body
90,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
91,해요 (2022),#안녕,해요 (2022)
92,Butter,방탄소년단,Butter
93,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
94,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
95,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
96,나에게 그대만이,탑현,나에게 그대만이
97,Underneath The Tree,Kelly Clarkson,Wrapped In Red (Deluxe Version)
98,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS'
99,Hate You,정국,GOLDEN
100,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2
